Species,12S,16S,cytb,CXCR4,H3A,NCX1,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Desmognathus.ocoee,NA,NA,AF442541,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmognathus.orestes,AF437375,NA,AF442536,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmognathus.planiceps,NA,NA,EF028649,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmognathus.quadramaculatus,EU552414,DQ283253,AY691739,NA,DQ284278,NA,NA,AY650117,DQ283923,DQ282775,NA,NA
Desmognathus.santeetlah,U71236,U71236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmognathus.welteri,U71231,U71231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmognathus.wrighti,AF437317,U71242,AY691740,NA,NA,NA,NA,AY691699,NA,NA,NA,NA
Diasporus.diastema,EU186682,EU186682,NA,GQ345184,NA,GQ345232,GQ345261,NA,NA,GQ345311,GQ345330,EU186773
Dicamptodon.aterrimus,GQ368657,GQ368657,AY728957,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicamptodon.copei,NA,NA,DQ999075,NA,NA,NA,NA,AY691695,NA,NA,NA,NA
Dicamptodon.ensatus,DQ283118,DQ283118 ,AY734622,EF107496,DQ284164,EF107276,NA,EF107335,NA,NA,NA,NA
Dicamptodon.tenebrosus,DQ283261,DQ283261 ,DQ387957,NA,DQ284284,NA,EU275824,EU275789,NA,NA,NA,NA
Didynamipus.sjostedti,AY325991,AY325991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discodeles.guppyi,DQ283200,DQ283200 ,NA,NA,DQ284232,NA,NA,NA,DQ283883,DQ282743,NA,DQ282947
Discoglossus.galganoi,DQ283243,AY236831,NC_006690,NA,DQ284270,NA,NA,AY583338,DQ283915,DQ282770,NA,NA
Discoglossus.jeanneae,AY347472,AY333720,DQ902149,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discoglossus.montalentii,DQ642141,AY333715,AY347432,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discoglossus.pictus,NA,NA,DQ902148,AY364172,DQ284412,NA,NA,AY364202,DQ284034,DQ282889,AY948858,NA
Discoglossus.sardus,AY333675,AY333713,AY347434,NA,NA,NA,NA,AY323757,NA,NA,NA,NA
Duellmanohyla.rufioculis,AY843583,AY843583,AY843805,NA,DQ284059,NA,DQ388705,AY844377,NA,AY844782,NA,AY844033
Duellmanohyla.soralia,AY843584,AY843584,AY843806,NA,NA,NA,AY819111,AY844378,NA,AY844783,NA,AY844034
Dyscophus.antongilii,EU341120,EU341120 ,EU341054,NA,NA,AY948832,NA,EF396084,NA,NA,AY948890,EF395970
Dyscophus.guineti,DQ283434,DQ283434 ,DQ119680,NA,DQ284411,NA,NA,NA,NA,DQ282888,NA,DQ283025
Dyscophus.insularis,EU341119,EU341119 ,EU341053,NA,NA,NA,NA,EF396083,NA,NA,NA,EF395971
Echinotriton.andersoni,EU880314,EU880314,EU880314,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinotriton.chinhaiensis,EU880315,EU880315,EU880315,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecnomiohyla.miliaria,DQ055841,AY843777,AY843882,NA,DQ284115,NA,DQ055797,AY844431,NA,AY844847,NA,AY844088
Ecnomiohyla.minera,DQ388690,NA,NA,NA,NA,NA,DQ388711,NA,NA,NA,NA,NA
Ecnomiohyla.miotympanum,AY843645,AY843645,AY843884,NA,NA,NA,AY819122,AY844433,NA,AY844848,NA,AY844090
Edalorhina.perezi,AY843585,AY843585,AY843807,NA,DQ284095,NA,NA,NA,NA,AY844784,NA,NA
Elachistocleis.ovalis,DQ347057,DQ283405,NA,EF017969,DQ284386,EF018006,NA,EF396085,DQ347401,NA,EF107396,EF395972
Eleutherodactylus.abbotti,EF493540,EF493540,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493457
Eleutherodactylus.acmonis,EF493787,EF493637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.albipes,EF493386,EF493386,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493475
Eleutherodactylus.alcoae,EF493382,EF493382,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493469
Eleutherodactylus.alticola,EF493768,EF493620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.amadeus,EF493805,EF493644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.amplinympha,EF493732,EF493560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.andrewsi,EF493544,EF493623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.antillensis,EF493728,EF493556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.apostates,EF493811,EF493650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.armstrongi,EF493778,EF493611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.atkinsi,EF493797,EF493598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.audanti,EU186662,EU186662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.auriculatoides,EF493754,EF493572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.auriculatus,EF493344,EF493344,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493458
Eleutherodactylus.bakeri,EF493808,EF493647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.barlagnei,EF493735,EF493563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.bartonsmithi,EF493736,EF493576,GQ426514,NA,NA,NA,NA,GQ426499,NA,NA,NA,NA
Eleutherodactylus.blairhedgesi,EF493371,EF493606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.bothroboans,EU186655,EU186655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.bresslerae,EF493785,EF493635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.brevirostris,EF493819,EF493657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.brittoni,EF493727,EF493554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.caribe,EF493385,EF493385,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493472
Eleutherodactylus.casparii,EF493788,EF493599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.cavernicola,EF493763,EF493614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.chlorophenax,EF493543,EF493589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.cochranae,EF493725,EF493555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.cooki,EF493539,EF493539,NA,NA,NA,NA,GQ345260,NA,NA,GQ345310,NA,EF493455
Eleutherodactylus.coqui,GQ345176,GQ345176,EF637038,EF107500,NA,EF107282,NA,EF107341,NA,NA,EF107445,NA
Eleutherodactylus.corona,EF493807,EF493645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.counouspeus,EF493719,EF493719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.cubanus,EF493796,EF493594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.cundalli,EF493761,EF493612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.cuneatus,EF493775,EF493608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.darlingtoni,EF493777,EF493610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.dimidiatus,EF493802,EF493640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.dolomedes,EF493809,EF493648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.eileenae,EF493740,EF493577,GQ426518,NA,NA,NA,NA,GQ426503,NA,NA,NA,NA
Eleutherodactylus.emiliae,EF493368,EF493638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.eneidae,EF493729,EF493557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.etheridgei,EF493794,EF493593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.eunaster,EF493804,EF493646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.flavescens,EF493731,EF493559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.fowleri,EF493752,EF493568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.furcyensis,EF493814,EF493654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.fuscus,EF493769,EF493618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.glamyrus,EF493737,EF493575,GQ426515,NA,NA,NA,NA,GQ426500,NA,NA,NA,NA
Eleutherodactylus.glandulifer,EF493816,EF493655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.glanduliferoides,EF493546,EF493364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.glaphycompus,EF493383,EF493383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.glaucoreius,EF493762,EF493613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.goini,EF493791,EF493604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.gossei,EF493716,EF493716,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493466
Eleutherodactylus.grabhami,EF493772,EF493624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.grahami,EF493781,EF493632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.greyi,EF493801,EF493628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.griphus,EF493381,EF493381,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493465
Eleutherodactylus.gryllus,EF493724,EF493552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.guanahacabibes,EF493789,EF493600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.guantanamera,EF493749,EF493565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.gundlachi,EF493798,EF493597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.haitianus,EF493743,EF493583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.hedricki,EF493726,EF493553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.heminota,EF493806,EF493649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.hypostenor,EF493757,EF493585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.iberia,EF493374,EF493591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.inoptatus,EF493380,EF493380,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493463
Eleutherodactylus.intermedius,EF493799,EF493595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.ionthus,EF493748,EF493564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.jamaicensis,EF493770,EF493621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.jaumei,EU186672,EU186672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.johnstonei,EF493733,EF493561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.jugans,EF493810,EF493652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.junori,EF493764,EF493617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.klinikowskii,EF493547,EF493363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.lamprotes,EF493379,EF493379,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493460
Eleutherodactylus.leberi,EF493342,EF493342,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493459
Eleutherodactylus.lentus,EF493717,EF493717,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493471
Eleutherodactylus.leoncei,EF493375,EF493715,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493468
Eleutherodactylus.limbatus,EF493795,EF493590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.locustus,EF493730,EF493558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.luteolus,EF493545,EF493545,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493464
Eleutherodactylus.maestrensis,EF493369,EF493639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.mariposa,EF493738,EF493573,GQ426516,NA,NA,NA,NA,GQ426501,NA,NA,NA,NA
Eleutherodactylus.marnockii,DQ283102,DQ283101,NA,EF107463,DQ284151,EF107238,NA,EF107300,DQ283817,DQ282677,EF107388,EF493476
Eleutherodactylus.martinicensis,EF493343,EF493343,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493456
Eleutherodactylus.melacara,EF493751,EF493567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.minutus,EF493741,EF493578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.monensis,EF493783,EF493633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.nitidus,EU186730,EU186712,NA,NA,DQ284316,NA,NA,NA,DQ283959,DQ282807,NA,NA
Eleutherodactylus.nortoni,EF493760,EF493588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.nubicola,EF493771,EF493622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.orcutti,EF493767,EF493619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.orientalis,EF493373,EF493592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.oxyrhyncus,EF493812,EF493651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.pantoni,EF493766,EF493616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.parabates,EF493746,EF493581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.parapelates,EF493758,EF493587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.patriciae,EF493755,EF493570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.paulsoni,EF493815,EF493659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.pentasyringos,EF493765,EF493615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.pezopetrus,EF493793,EF493601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.pictissimus,EF493782,EF493631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.pinarensis,EF493792,EF493607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.pinchoni,EF493734,EF493562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.pipilans,EU186729,EU186711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.pituinus,EF493747,EF493582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.planirostris,EF493346,EF493346,NA,NA,DQ284155,NA,NA,NA,DQ283821,DQ282788,NA,EF493470
Eleutherodactylus.poolei,EF493742,EF493579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.portoricensis,EF493720,EF493548,EF636947,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.principalis,FJ527411,GQ426528,GQ426513,NA,NA,NA,NA,GQ426498,NA,NA,NA,NA
Eleutherodactylus.probolaeus,EF493784,EF493634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.rhodesi,EF493779,EF493629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.richmondi,EF493541,EF493541,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493461
Eleutherodactylus.ricordii,EF493786,EF493636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.riparius,Y10944,X86310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.rivularis,EF493376,EF493626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.rogersi,EF493372,EF493603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.ronaldi,EF493739,EF493574,GQ426517,NA,NA,NA,NA,GQ426502,NA,NA,NA,NA
Eleutherodactylus.rufifemoralis,EF493813,EF493653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.ruthae,EF493759,EF493586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.schmidti,EU186653,EU186653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.schwartzi,EF493723,EF493551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.sciagraphus,EF493817,EF493656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.sisyphodemus,EF493773,EF493625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.sommeri,EU186654,EU186654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.symingtoni,EF493821,EF493643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.thomasi,EF493370,EF493605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.thorectes,EF493384,EF493384,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493473
Eleutherodactylus.toa,EF493774,EF493627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.tonyi,EF493790,EF493602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.turquinensis,EF493776,EF493609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.unicolor,EF493542,EF493542,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493462
Eleutherodactylus.varians,EF493750,EF493566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.varleyi,EF493800,EF493596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.ventrilineatus,EF493818,EF493658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.weinlandi,EF493780,EF493630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.wetmorei,EU186652,EF493569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.wightmanae,EU186651,EU186651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus.zeus,EF493718,EF493718,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493477
Eleutherodactylus.zugi,EF493347,EF493347,NA,NA,NA,NA,NA,NA,NA,NA,NA,EF493474
Engystomops.coloradorum,DQ337222,AY834182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engystomops.freibergi,AF058962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engystomops.guayaco,DQ337220,AY834176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engystomops.montubio,DQ337224,AY834177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engystomops.petersi,DQ337234,DQ337233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engystomops.pustulatus,DQ337215,DQ337215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engystomops.pustulosus,DQ337242,DQ337248,NA,EF107462,NA,EF107237,NA,EF107299,NA,NA,EF107387,NA
Engystomops.randi,DQ337228,AY834179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensatina.eschscholtzii,NA,NA,FJ151971,EF107497,NA,EF107277,EU275816,EU275785,NA,NA,EF107441,NA
Epicrionops.marmoratus,AY101206,AY101226,AY101246,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epicrionops.niger,GQ244468,GQ244468,GQ244468,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epipedobates.anthonyi,EU342574,EU342574,AF128547,NA,NA,NA,NA,DQ503354,NA,DQ503104,NA,NA
Epipedobates.boulengeri,EU342570,EU342570,AF128556,NA,DQ284063,NA,NA,DQ503301,DQ283768,DQ282653,NA,DQ282902
Epipedobates.espinosai,EU342571,EU342571,DQ502594,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epipedobates.machalilla,EU342576,EU342576,DQ502443,NA,NA,NA,NA,DQ503283,DQ503175,DQ503039,NA,NA
Epipedobates.tricolor,AY364576,EU342578,AF128550,EF107458,NA,EF107233,NA,EF107295,NA,NA,EF107381,NA
Espadarana.andina,EU663335,EU662976,NA,NA,NA,NA,EU663166,EU663435,NA,NA,NA,NA
Espadarana.callistomma,EU663340,EU662981,NA,NA,NA,NA,EU663171,EU663439,NA,NA,NA,NA
Espadarana.prosoblepon,AY843574,AY843574,AY843796,AY364193,NA,AY948834,AY819085,EU663453,AY364404,AY844776,AY948896,NA
Eupemphix.nattereri,DQ337208,DQ337208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphlyctis.cyanophlyctis,DQ346962,AY014366,AF249071,AB488919,NA,AB488936,NA,DQ347205,AF249111,NA,NA,AF249174
Euphlyctis.ehrenbergii,NA,AY014367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphlyctis.hexadactylus,AB273172,AF215389,AB274169,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euproctus.montanus,EU880316,U04697,DQ821199,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euproctus.platycephalus,EU880317,U04699,DQ821201,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupsophus.calcaratus,AY143352,AY843587,AY843808,NA,DQ284120,NA,NA,NA,NA,AY844786,NA,AY844036
Eupsophus.contulmoensis,AY389159,NA,AY389149,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupsophus.emiliopugini,NA,DQ864553,EU022580,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupsophus.insularis,AY389160,NA,AY389150,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupsophus.migueli,AY389155,DQ864554,AY389145,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupsophus.nahuelbutensis,AY389151,NA,AY389141,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupsophus.roseus,DQ864532,DQ864556,AY389144,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupsophus.vertebralis,AY578821,NA,AY389148,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.aquatica,NA,NA,NA,NA,NA,NA,NA,FJ750235,NA,NA,NA,NA
Eurycea.bislineata,AF290187,NA,AY528402,NA,NA,NA,EU275815,EU275784,NA,NA,NA,NA
Eurycea.chisholmensis,NA,NA,AY014841,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.cirrigera,NA,NA,NA,NA,NA,NA,NA,FJ750245,NA,NA,NA,NA
Eurycea.junaluska,NA,NA,NA,NA,NA,NA,NA,FJ750246,NA,NA,NA,NA
Eurycea.latitans,NA,NA,AY014849,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.longicauda,NA,NA,AY528403,NA,NA,NA,NA,AY650121,NA,NA,NA,NA
Eurycea.lucifuga,NA,NA,EF044248,NA,NA,NA,NA,FJ917632,NA,NA,NA,NA
Eurycea.multiplicata,NA,NA,AY528341,NA,NA,NA,NA,AY691707,NA,NA,NA,NA
Eurycea.nana,NA,NA,AY014846,NA,NA,NA,NA,EF443113,NA,NA,NA,NA
Eurycea.naufragia,NA,NA,AY014843,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.neotenes,NA,NA,AY528400,NA,NA,NA,NA,AY650122,NA,NA,NA,NA
Eurycea.pterophila,NA,NA,AY014851,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.quadridigitata,NA,AY523777,AY528401,NA,NA,NA,NA,AY691708,NA,NA,EF107397,NA
Eurycea.rathbuni,NA,NA,AY014845,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.sosorum,NA,NA,AY014857,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.spelaea,NA,NA,AY528399,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.tonkawae,NA,NA,AF252349,NA,NA,NA,NA,AY691709,NA,NA,NA,NA
Eurycea.tridentifera,NA,NA,AY014848,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.troglodytes,NA,NA,AY014852,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.tynerensis,NA,NA,AY528373,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.waterlooensis,NA,NA,AY014856,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea.wilderae,DQ283254,DQ283254,AF252379,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exerodonta.abdivita,DQ388685,NA,NA,NA,NA,NA,DQ388707,NA,NA,NA,NA,NA
Exerodonta.chimalapa,AY843619,AY843619,AY843845,NA,DQ284099,NA,DQ388708,AY844407,NA,AY844815,NA,AY844062
Exerodonta.melanomma,AY843642,AY843642,AY843879,NA,NA,NA,DQ055796,AY844429,NA,AY844845,NA,AY844087
Exerodonta.perkinsi,AY843653,AY843653,AY843893,NA,NA,NA,DQ388713,AY844441,NA,AY844857,NA,AY844098
Exerodonta.smaragdina,DQ388694,NA,NA,NA,NA,NA,DQ388716,NA,NA,NA,NA,NA
Exerodonta.sumichrasti,AY819454,NA,NA,NA,NA,NA,DQ055802,NA,NA,NA,NA,NA
Exerodonta.xera,AY843686,AY843686,AY843932,NA,NA,NA,DQ388717,AY844468,NA,AY844888,NA,AY844126
Feihyla.palpebralis,NA,NA,EU924597,NA,NA,NA,GQ285740,EU924513,EU215576,NA,NA,NA
Fejervarya.cancrivora,EU435300,EU979849,AB444705,NA,NA,NA,NA,NA,DQ458259,NA,NA,EU980029
Fejervarya.caperata,AB355830,AB355845,NA,AB488912,NA,AB488929,NA,NA,NA,NA,NA,NA
Fejervarya.granosa,AB355826,AB355838,NA,AB488913,NA,AB488930,NA,NA,NA,NA,NA,NA
Fejervarya.greenii,NA,AY014378,NA,AB488910,NA,AB488927,NA,NA,NA,NA,NA,NA
Fejervarya.iskandari,AB277287,AB277303,AB296085,AB277316,NA,AB277328,NA,NA,NA,NA,NA,AB277355
Fejervarya.kirtisinghei,NA,AY014380,NA,AB488909,NA,AB488926,NA,NA,NA,NA,NA,NA
Fejervarya.kudremukhensis,AB355828,AB355841,NA,AB488916,NA,AB488933,NA,NA,NA,NA,NA,NA
Fejervarya.limnocharis,AB277282,AF206466,AB296096,AB277307,DQ284356,AB277321,AB526646,NA,DQ458271,AY844787,AB526674,EU980027
Fejervarya.mudduraja,AB355822,AB355835,NA,AB488914,NA,AB488931,NA,NA,NA,NA,NA,NA
